NOME; COLUNAS; LINHAS; ALPHA; THETA; T LAB; T C2G
"data/baseball.ppm"; 320; 240; 5; 0; 0.03; 10.33
"data/baseball.ppm"; 320; 240; 10; 0; 0.04; 8.78
"data/baseball.ppm"; 320; 240; 15; 0; 0.03; 9.84
"data/baseball.ppm"; 320; 240; 20; 0; 0.03; 7.85
"data/baseball.ppm"; 320; 240; 25; 0; 0.02; 4.01
"data/baseball.ppm"; 320; 240; 5; 45; 0.03; 7.7
"data/baseball.ppm"; 320; 240; 10; 45; 0.03; 8.85
"data/baseball.ppm"; 320; 240; 15; 45; 0.03; 8.83
"data/baseball.ppm"; 320; 240; 20; 45; 0.03; 8.86
"data/baseball.ppm"; 320; 240; 25; 45; 0.03; 7.86
"data/baseball.ppm"; 320; 240; 5; 90; 0.03; 8.58
"data/baseball.ppm"; 320; 240; 10; 90; 0.03; 9.82
"data/baseball.ppm"; 320; 240; 15; 90; 0.03; 8.85
"data/baseball.ppm"; 320; 240; 20; 90; 0.03; 7.84
"data/baseball.ppm"; 320; 240; 25; 90; 0.03; 7.82
"data/baseball.ppm"; 320; 240; 5; 135; 0.03; 6.33
"data/baseball.ppm"; 320; 240; 10; 135; 0.02; 10.36
"data/baseball.ppm"; 320; 240; 15; 135; 0.03; 8.83
"data/baseball.ppm"; 320; 240; 20; 135; 0.04; 8.82
"data/baseball.ppm"; 320; 240; 25; 135; 0.03; 8.86
"data/baseball.ppm"; 320; 240; 5; 180; 0.02; 8.83
"data/baseball.ppm"; 320; 240; 10; 180; 0.03; 8.85
"data/baseball.ppm"; 320; 240; 15; 180; 0.03; 8.88
"data/baseball.ppm"; 320; 240; 20; 180; 0.03; 8.86
"data/baseball.ppm"; 320; 240; 25; 180; 0.03; 7.85
"data/baseball.ppm"; 320; 240; 5; 225; 0.02; 6.31
"data/baseball.ppm"; 320; 240; 10; 225; 0.03; 10.35
"data/baseball.ppm"; 320; 240; 15; 225; 0.03; 8.84
"data/baseball.ppm"; 320; 240; 20; 225; 0.03; 8.79
"data/baseball.ppm"; 320; 240; 25; 225; 0.02; 7.74
"data/baseball.ppm"; 320; 240; 5; 270; 0.03; 8.85
"data/baseball.ppm"; 320; 240; 10; 270; 0.03; 8.84
"data/baseball.ppm"; 320; 240; 15; 270; 0.03; 7.81
"data/baseball.ppm"; 320; 240; 20; 270; 0.03; 7.83
"data/baseball.ppm"; 320; 240; 25; 270; 0.03; 8.82
"data/baseball.ppm"; 320; 240; 5; 315; 0.04; 8.83
"data/baseball.ppm"; 320; 240; 10; 315; 0.03; 7.86
"data/baseball.ppm"; 320; 240; 15; 315; 0.03; 8.81
"data/baseball.ppm"; 320; 240; 20; 315; 0.03; 8.84
"data/baseball.ppm"; 320; 240; 25; 315; 0.02; 7.87
"data/ceu.ppm"; 240; 160; 5; 0; 0; 2.17
"data/ceu.ppm"; 240; 160; 10; 0; 0.01; 3.02
"data/ceu.ppm"; 240; 160; 15; 0; 0.01; 3.6
"data/ceu.ppm"; 240; 160; 20; 0; 0.01; 4.04
"data/ceu.ppm"; 240; 160; 25; 0; 0.02; 4.42
"data/ceu.ppm"; 240; 160; 5; 45; 0.01; 1
"data/ceu.ppm"; 240; 160; 10; 45; 0.01; 3.01
"data/ceu.ppm"; 240; 160; 15; 45; 0.01; 3.59
"data/ceu.ppm"; 240; 160; 20; 45; 0.01; 1.01
"data/ceu.ppm"; 240; 160; 25; 45; 0.01; 4.38
"data/ceu.ppm"; 240; 160; 5; 90; 0.01; 1
"data/ceu.ppm"; 240; 160; 10; 90; 0.01; 1
"data/ceu.ppm"; 240; 160; 15; 90; 0.02; 1.01
"data/ceu.ppm"; 240; 160; 20; 90; 0.01; 1.01
"data/ceu.ppm"; 240; 160; 25; 90; 0.02; 4
"data/ceu.ppm"; 240; 160; 5; 135; 0.02; 1
"data/ceu.ppm"; 240; 160; 10; 135; 0.01; 3.01
"data/ceu.ppm"; 240; 160; 15; 135; 0.01; 3.58
"data/ceu.ppm"; 240; 160; 20; 135; 0.01; 4.06
"data/ceu.ppm"; 240; 160; 25; 135; 0.02; 1
