NOME; COLUNAS; LINHAS; ALPHA; THETA; T LAB; T C2G
"data/atest.ppm"; 40; 40; 5; 0; 0; 2,163000
"data/atest.ppm"; 40; 40; 10; 0; 0; 2,226000
"data/atest.ppm"; 40; 40; 15; 0; 0; 2,222000
"data/atest.ppm"; 40; 40; 20; 0; 0; 2,219000
"data/atest.ppm"; 40; 40; 30; 0; 0; 2,208000
"data/atest.ppm"; 40; 40; 5; 45; 0; 2,167000
"data/atest.ppm"; 40; 40; 10; 45; 0; 2,248000
"data/atest.ppm"; 40; 40; 15; 45; 0,01; 2,228000
"data/atest.ppm"; 40; 40; 20; 45; 0; 2,221000
"data/atest.ppm"; 40; 40; 30; 45; 0; 2,207000
"data/atest.ppm"; 40; 40; 5; 90; 0; 2,167000
"data/atest.ppm"; 40; 40; 10; 90; 0; 2,237000
"data/atest.ppm"; 40; 40; 15; 90; 0; 2,245000
"data/atest.ppm"; 40; 40; 20; 90; 0; 2,223000
"data/atest.ppm"; 40; 40; 30; 90; 0,01; 2,217000
"data/atest.ppm"; 40; 40; 5; 135; 0,01; 2,173000
"data/atest.ppm"; 40; 40; 10; 135; 0; 2,255000
"data/atest.ppm"; 40; 40; 15; 135; 0,01; 2,239000
"data/atest.ppm"; 40; 40; 20; 135; 0,01; 2,224000
"data/atest.ppm"; 40; 40; 30; 135; 0,01; 2,210000
"data/atest.ppm"; 40; 40; 5; 180; 0,01; 2,170000
"data/atest.ppm"; 40; 40; 10; 180; 0; 2,232000
"data/atest.ppm"; 40; 40; 15; 180; 0,01; 2,223000
"data/atest.ppm"; 40; 40; 20; 180; 0,01; 2,226000
"data/atest.ppm"; 40; 40; 30; 180; 0,01; 2,213000
"data/atest.ppm"; 40; 40; 5; 225; 0,01; 2,167000
"data/atest.ppm"; 40; 40; 10; 225; 0,01; 2,235000
"data/atest.ppm"; 40; 40; 15; 225; 0; 2,220000
"data/atest.ppm"; 40; 40; 20; 225; 0; 2,226000
"data/atest.ppm"; 40; 40; 30; 225; 0; 2,209000
"data/atest.ppm"; 40; 40; 5; 270; 0,01; 2,174000
"data/atest.ppm"; 40; 40; 10; 270; 0; 2,246000
"data/atest.ppm"; 40; 40; 15; 270; 0; 2,259000
"data/atest.ppm"; 40; 40; 20; 270; 0,01; 2,222000
"data/atest.ppm"; 40; 40; 30; 270; 0; 2,222000
"data/atest.ppm"; 40; 40; 5; 315; 0; 2,168000
"data/atest.ppm"; 40; 40; 10; 315; 0,01; 2,234000
"data/atest.ppm"; 40; 40; 15; 315; 0; 2,225000
"data/atest.ppm"; 40; 40; 20; 315; 0,01; 2,224000
"data/atest.ppm"; 40; 40; 30; 315; 0,01; 2,213000
"data/baseball.ppm"; 320; 240; 5; 0; 0,04; 1.174,637939
