NOME;COLUNAS;LINHAS;ALPHA;THETA;T LAB;T C2G
"data/atest.ppm";40;40;5;0;0;2,210000
"data/atest.ppm";40;40;10;0;0;2,236000
"data/atest.ppm";40;40;15;0;0;2,435000
"data/atest.ppm";40;40;20;0;0;5,026000
"data/atest.ppm";40;40;25;0;0;2,350000
"data/atest.ppm";40;40;5;45;0;2,186000
"data/atest.ppm";40;40;10;45;0;2,266000
"data/atest.ppm";40;40;15;45;0;2,330000
"data/atest.ppm";40;40;20;45;0;2,251000
"data/atest.ppm";40;40;25;45;0;2,225000
"data/atest.ppm";40;40;5;90;0;2,194000
"data/atest.ppm";40;40;10;90;0;2,671000
"data/atest.ppm";40;40;15;90;0;2,232000
"data/atest.ppm";40;40;20;90;0;2,242000
"data/atest.ppm";40;40;25;90;0;2,257000
"data/atest.ppm";40;40;5;135;0;2,175000
"data/atest.ppm";40;40;10;135;0,01;2,245000
"data/atest.ppm";40;40;15;135;0;2,233000
"data/atest.ppm";40;40;20;135;0;2,230000
"data/atest.ppm";40;40;25;135;0;2,222000
"data/atest.ppm";40;40;5;180;0;2,174000
"data/atest.ppm";40;40;10;180;0;2,279000
"data/atest.ppm";40;40;15;180;0;2,244000
"data/atest.ppm";40;40;20;180;0;2,430000
"data/atest.ppm";40;40;25;180;0;4,956000
"data/atest.ppm";40;40;5;225;0;2,217000
"data/atest.ppm";40;40;10;225;0;2,304000
"data/atest.ppm";40;40;15;225;0;2,339000
"data/atest.ppm";40;40;20;225;0;2,232000
"data/atest.ppm";40;40;25;225;0;2,218000
"data/atest.ppm";40;40;5;270;0;2,195000
"data/atest.ppm";40;40;10;270;0;2,236000
"data/atest.ppm";40;40;15;270;0;2,661000
"data/atest.ppm";40;40;20;270;0;3,537000
"data/atest.ppm";40;40;25;270;0;2,229000
"data/atest.ppm";40;40;5;315;0;2,294000
"data/atest.ppm";40;40;10;315;0;2,351000
"data/atest.ppm";40;40;15;315;0;2,256000
"data/atest.ppm";40;40;20;315;0;2,230000
"data/atest.ppm";40;40;25;315;0;2,221000
"data/baseball.ppm";320;240;5;0;0,04;1.175,296021
"data/baseball.ppm";320;240;10;0;0,04;1.274,010010
"data/baseball.ppm";320;240;15;0;0,03;1.305,817017
"data/baseball.ppm";320;240;20;0;0,03;1.319,871948
"data/baseball.ppm";320;240;25;0;0,03;1.337,223999
"data/baseball.ppm";320;240;5;45;0,03;1.176,666016
"data/baseball.ppm";320;240;10;45;0,03;1.273,602051
"data/baseball.ppm";320;240;15;45;0,03;1.307,005005
"data/baseball.ppm";320;240;20;45;0,03;1.317,569946
"data/baseball.ppm";320;240;25;45;0,04;1.338,666992
"data/baseball.ppm";320;240;5;90;0,03;1.174,870972
"data/baseball.ppm";320;240;10;90;0,03;1.273,973999
"data/baseball.ppm";320;240;15;90;0,04;1.305,077026
"data/baseball.ppm";320;240;20;90;0,03;1.321,149048
"data/baseball.ppm";320;240;25;90;0,04;1.338,949951
"data/baseball.ppm";320;240;5;135;0,03;1.174,193970
"data/baseball.ppm";320;240;10;135;0,03;1.273,897949
"data/baseball.ppm";320;240;15;135;0,03;1.303,728027
"data/baseball.ppm";320;240;20;135;0,04;1.317,529053
"data/baseball.ppm";320;240;25;135;0,03;1.338,233032
"data/baseball.ppm";320;240;5;180;0,03;1.174,546997
"data/baseball.ppm";320;240;10;180;0,02;1.275,918945
"data/baseball.ppm";320;240;15;180;0,02;1.303,239014
"data/baseball.ppm";320;240;20;180;0,03;1.316,895996
"data/baseball.ppm";320;240;25;180;0,04;1.336,208984
"data/baseball.ppm";320;240;5;225;0,04;1.174,390991
"data/baseball.ppm";320;240;10;225;0,03;1.273,963013
